1	01a08734-ebe6-7823-a0d0-a863ef34ab6c	0.446727
2	01a08735-2d3c-7585-99a3-ae2e59111b78	0.505879
3	01a08735-7862-795f-a986-d04076c0f517	0.504262
4	01a08735-c98b-78dd-9c26-8dbd1240ab2f	0.442942
5	01a08736-160d-7254-9200-9d4dcc9c6c8f	0.509763
6	01a08736-62a1-79e9-bd56-af15570f9c3b	0.463241
7	01a08736-b3c4-7c2d-856c-f2d045c6f6d8	0.425431
8	01a08736-ffed-7411-967e-424842ea2a1a	0.427673
9	01a08737-5125-7e6d-a50d-04bdc0da6493	0.445357
10	01a08737-9d37-73ec-accc-97026380d7d3	0.400859
11	01a08737-ed1e-7285-87c4-18fb738b7c26	0.811678
12	01a08738-3b46-7520-8d28-5d27a0d7488c	0.454469
13	01a08738-89a7-70bd-91b5-779679d48a84	0.442523
14	01a08738-d477-7a03-8676-d31b92ca08df	0.436016
15	01a08739-264c-78f5-9718-453d1452372e	0.449910
16	01a08739-7278-75ad-aa5a-0beeaf53badf	0.418691
17	01a08739-c3ad-7782-8e52-9d60e9aa2676	0.465571
18	01a0873a-0ff6-7eb7-9343-0d3d89c7a375	0.466164
19	01a0873a-5c7f-7b42-9c6d-524d028e2101	0.430090
20	01a0873a-a917-759c-ac53-ae4ca0675d45	0.416348
21	01a0873a-fb98-7d1e-b047-1f7e76b612b7	0.555937
22	01a0873b-482e-7c29-b994-5d871a19354a	0.420648
23	01a0873b-9494-75fe-81a4-19ec5c1d158a	0.408173
24	01a0873b-e5da-7229-a888-915f14248efb	0.466398
25	01a0873c-323a-746b-9adf-30e7b05d19eb	0.432498
26	01a0873c-7eda-7814-b1ce-de6991a9adfb	0.414419
27	01a0873c-cb24-704a-82c7-85e66ba140e3	0.396437
28	01a0873d-1ccb-759d-b1ca-4313bb9b071d	0.423778
29	01a0873d-68eb-7dfc-85fc-288585212ca9	0.459129
30	01a0873d-b77f-779e-af22-31c664ef7602	0.417690
31	01a0873e-03f5-75e9-9b9a-3c179b74c4d3	0.464815
32	01a0873e-55ac-71c6-bb36-1e55e52b645b	0.402076
33	01a0873e-a073-75b9-8c36-983f0235a91a	0.394683
34	01a0873e-f0d5-79ee-94ca-61920691febf	0.456410
35	01a0873f-3c45-7cc7-bec3-0a5446854d65	0.425305
36	01a0873f-8d2d-7a9f-a34b-fa5dc80a8d3c	0.403499
37	01a0873f-d8da-7d32-b8ab-414604da1cba	0.423147
38	01a08740-29b8-789d-96f2-8483c9168855	0.401679
39	01a08740-74c9-7699-b2e1-0448929f73fe	0.429423
40	01a08740-c51f-7d91-ada4-e4893f667931	0.497275
41	01a08741-1552-7f20-b24b-32613484482c	0.392640
42	01a08741-6037-73f2-936e-a073b8ad71f6	0.463317
43	01a08741-b0b4-753a-bfa7-8fa113ca9b58	0.422965
44	01a08741-fc07-73eb-afd6-1e1a85eb079a	0.414432
45	01a08742-4c65-7578-a2f5-3fac79ce34cb	0.392634
46	01a08742-9baa-7008-818d-0e88d3ba5b09	0.400583
47	01a08742-eab4-7802-b359-a8353b5a2739	0.428262
48	01a08743-3647-7806-ba34-d42ed6e4456a	0.432032
49	01a08743-85db-7384-b5e3-048f59071a33	0.407955
50	01a08743-cfea-71d4-9d61-81845fd6e5a1	0.421409
51	01a08744-1eb4-7390-9229-0dd65b9cee54	0.460702
52	01a08744-6dfa-7b9c-831a-9794ea9512cf	0.463583
53	01a08744-bde1-7bf6-8c2f-37066563c5cd	0.432351
54	01a08745-0d56-7b49-9775-16630f768e36	0.396195
55	01a08745-5709-7da5-ae9c-9942ea61bbf1	0.467573
56	01a08745-a85c-74e0-b530-10e783e1eade	0.422950
57	01a08745-f371-7c38-861f-6399fc1ccbd7	0.408587
58	01a08746-43dc-7b05-9ce2-610b767ed1dd	0.431698
59	01a08746-93ea-7353-9cb8-ce8fa7d7e53e	0.502180
60	01a08746-df33-7b26-abbd-48d9a4b43708	0.382153
61	01a08747-2f80-7ae5-a6cb-93be7fba7a9d	0.400043
62	01a08747-7af8-7548-ab30-27536de5aec2	0.401966
63	01a08747-cba5-7ca1-b37d-0abb7094a521	0.424597
64	01a08748-1742-74b0-a7d7-0e97f3378521	0.433031
65	01a08748-6840-7562-9e09-a07e7824ff88	0.468049
